key	fr	galo	br	en	eo
nouveaux-4	Vous n'avez PAS à payer les 2€, l'Association Française de Speedcubing prend en charge votre inscription.	V'éz POUINT a payer les 2 nuros. Votr enlistement sera payë par la Souéte Françaeze de Speedcubing.	N'ho peus KET da baeañ an 2€, meret 'vo hoc'h enskrivadur gant an AFS	You DO NOT need to pay the 2€ fee, the French Association will handle your registration.	Vi NE bezonas pagi 2€, la franca asocio (Franca Asocio de Rapidkubumado) okupiĝos pri via registriĝo
nouveaux-5	Il est indispensable de lire le règlement WCA (la traduction française est ici).	Faot lére les louais de la WCA (la terlaterie en françaez ét ilë).	Ret eo deoc'h lenn reolennoù ar WCA (aze emañ an droidigezh e galleg).	You must read the WCA regulations (translations are here).	Vi devas legi la regularon de la WCA
nouveaux-6	Nous vous invitons fortement à assister au "tutoriel" (si le planning ne contient pas de "tutoriel", celui-ci aura lieu un peu avant le 3x3)	Merci de veni vaer l'espllicacion (ao câs qe n-i a pouint d'espllicacion den le programe, yelle sera un p'tit avant le 3x3).	Mar plij, kit da welet an "tutoriel" (ma n'eus "tutoriel" ebet er planning, neuze e vo un tammig a-raok an 3x3)	We strongly advise you to come see the tutorial (if it's not in the schedule, it will be before 3x3).	Ni rekomendegas al vi asisti la instru-momenton (tutorial) (se ĝi ne estas en la horplano, ĝi okazos antaŭ la 3x3-evento)
nouveaux-7	Vous devez apporter une pièce d'identité le jour de la compétition ou nous la scanner par mail avant la compétition.	Faot qe vous ejiéz de cai vous reconétr (eune piece d'identitë) le jou de la course ou qe vous l'envouayéz par messaije a l'eqhipe de menerie avant.	Ret eo deoc'h degas un pezh idantelezh pe skanniñ ha kas anezhañ dre bostel a-raok ar genstrivadeg	You must bring an identification paper (ID, passport, driving license) the day of the competition or scan and send it by email before the competition.	Vi devas kunporti identigilon al la konkurso aŭ skani kaj sendi ĝin retpoŝte antaŭ la konkurso.
nouveaux-8	Également, nous vous recommandons de lire les tutoriels de l'AFS.			The AFS wrote some tutorials but they are in French only…	La AFS verkis kelkajn instruilojn sed ili estas nur en la franca…
misc-1	Vous devez prendre connaissance du règlement WCA et l'accepter. Version anglaise (la plus à jour) ou version française.	V'éz de lére e d'aprouver les louais de la WCA. En angllaez (la pus fréche levée) ou en françaez.	Ret eo deoc'h lenn hag asantiñ reolennoù ar WCA. E saozneg pe e galleg.	You must read and accept the WCA Regulations.	Vi devas legi kaj akcepti la Regularon de la WCA (en la angla).
misc-2	Vous devez vous inscrire en ligne en cliquant sur "S'inscrire" sur la gauche de cette page. Si vous avez déjà participé à une compétition WCA et que vous n'êtes pas membre de l'AFS, votre inscription ne sera valide qu'une fois le paiement de 2€ effectué.	V'éz de v'enlister en dret en cliqant su "S'enlister" (ou "S'inscrire" ou "Register") su le coutë gaoche de la paije-la. Ao câs qe vous prite part a eune course WCA den le passë e qe v'etes pouint membr de l'AFS, votr enlistement ne sera valabl seulement cant qe v'aréz payer les 2 nuros.	Ret eo deoc'h lakaat hoc'h anv enlinenn o klikañ war "Register" (pe "S'inscrire") en tu-kleiz ar bajenn. M'ho peus dija kemeret perzh er genstrivadeg WCA ha ma n'oc'h ket ezel eus an AFS, hoc'h enskrivadur ne vo kemeret e kont nemet pa 'vo paeet an 2€.	You must register online by clicking on "Register" in the left block. If you've competed in a WCA competition before and you're not a member of the AFS (French Speedcubing Association), your registration will be considered valid once you paid the 2€ fees.	Vi devas registriĝi enrete alklante "Registriĝi" en la maldekstra parto de tiu paĝo. Se vi jam konkursis en WCA-konkurson antaŭe kaj se vi ne estas membro de la franca asocio (AFS), via registriĝo estos konsiderata valida nur post pago de la registriĝkostoj (2€).
misc-3	Le déroulement de la compétition étant particulier à cause de la situation sanitaire, merci d'être présents pour le tutoriel quel que soit le nombre de compétitions que vous avez faites.	A rézon qe n-i a le covid, la course-la sera pouint de méme qe les aotr fais un p'tit. Merci de veni vaer l'espllicacion (ao câs qe v'etes nouviao ou pâs).	Abalamour d'ar c'hovid e vo ar genstrivadeg un tamm ispisial. Trugarez da vezañ amañ evit an tutoriel (ne vern an niver a genstrivadegoù ho peus kemeret perzh enno).	Because of the sanitary situation, the competition flow will be specific. Please be there for the tutorial, regardless of the number of competitions you already attended.	Pro la sanitara situacio, la konkurso okazos en specialaj kondiĉoj. Bonvolu esti tie dum la instru-momento, sendepende de la nombro de konkursoj en kiuj vi partoprenis.
misc-4	Une pièce d'identité vous sera demandée si c'est votre première compétition.	Ao câs qe la course-la ét votr permiere, je vous demanderons de montrer de cai vous reconétr (eune piece d'identitë).	Goulennet 'vo ur pezh idantelezh diganeoc'h ma vez ho kenstrivadeg kentañ.	We'll ask for an ID if it's your first competition.	Ni petos identigilon al vi se tiu konkurso estas via unua.
misc-5	Merci de nous prévenir par mail si finalement vous ne pouvez pas participer à la compétition.	Ao câs qe vous ne pouvéz pouint veni pour fini, merci d'envouayer un messaije a l'eqhipe de menerie.	Trugarez da gas ur postel dimp ma n'hallit ket kemer perzh er genstrivadeg a-benn ar fin.	Please send us an email if you cannot participate after all.	Bonvolu sendi retpoŝton al ni se finfine vi ne povas partonpreni.
acces-1	En transports en commun depuis la gare de Nantes (35 min) - gratuit le week-end :	O le châraiyaije qemun depés Nante (35 mn) - pouint payant pendant la fin de semene :	Eus porzh-houarn Naoned, gant an treuzdougen boutin (35 mun.) - digoust e-pad an dibenn-sizhun:	Using public transportation from Nantes railway station (35 min) - free during week-ends:	Per publika transporto el Nanta stacidomo (35 min) - senpage semajnfine:
acces-2	TER ou Tram Ligne 1 direction Beaujoire / Ranzay / Haluchères, arrêt Haluchères ;	TER ou trame Ligne 1 vers Feûjis / Ranzaï / Aluchere, estacion Aluchere ;	TER pe linenn tramway 1 war-du Beaujoire / Ranzay / Haluchères, arsav Haluchères;	TER train line or Tram line 1 towards Beaujoire / Ranzay / Haluchères, stop at Haluchères ;	TER aŭ Tramlinio 1 direkte al Beaujoire / Ranzay / Haluchères, Haluchères haltejo;
acces-3	Puis bus 85 direction Bois St-Lys, arrêt Mainguais ;	Pés busse 85 vers Bouéz St-Liz, estacion Mainguais ;	Goude mont gant ar bus war-du Bois St-Lys, arsav Mainguais;	Then bus 85 towards Bois St-Lys, stop at Mainguais ;	Poste buso 85 direkte al Bois St-Lys, haltejo Mainguais;
acces-4	La salle est à 5 minutes à pieds.	La sale ét a 5 minutes a pië	5 munutenn war-droad 'zo betek ar sal	The venue is 5 min away, walking.	La konkursejo estas 5 minutojn piede.
acces-5	En voiture :	O la chârte :	Gant ar c'harr-tan:	By car:	Aŭtomobile :
acces-6	Depuis Nantes (25 min), via Porte de Carquefou puis rue de la Mainguais ;	Depés Nante (25 mn), par Porte de Carqefou pés rue de la Mainguais	Eus Naoned (25 mun.), mont dre "Porte de Carquefou" ha goude "Rue de la Mainguais";	From Nantes (25 min), via Porte de Carquefou then Rue de la Mainguais;	El Nantes (25 min), tra Porte de Carquefou kaj poste "Rue de la Mainguais";
acces-7	Depuis l'aéroport de Nantes (25 min), via Porte d'Anjou puis A811 sortie 23b ;	Depés le port d'avions de Nante (25 mn), par Porte d'Anjou pés A811 sortie 23b ;	Eus an aerborzh Naoned (25 mun.), mont dre "Porte d'Anjou" ha goude A811 ermaez gourhent 23b;	From Nantes Airport (25 min), via Porte d'Anjou then A811 exit 23b;	El la flughaveno de Nantes (25 min), tra Porte d'Anjou kaj poste A811 elirejo 23b;
acces-8	Depuis Angers (1h), via A11 sortie 22 puis A811 sortie 23 ;	Depés Anjé (1 oure), par A11 sortie 22 pés A811 sortie 23 ;	Eus Angers (1 eur), mont dre A11 ermaez gourhent 22 ha goude A811 ermaez gourhent 23;	From Angers (1h), via A11 exit 22 then A811 exit 23;	El Angers (1h), per A11 elirejo 22 kaj poste A811 elirejo 23;
acces-9	Depuis Rennes (1h25), via A11 sortie 24 puis rue de la Mainguais.	Depés Rene (1 oure 25 mn), par A11 sortie 24 pés rue de la Mainguais.	Eus Roazhon (1e25), mont dre A11 ermaez gourhent 24 ha goude "Rue de la Mainguais".	From Rennes (1h30), via A11 exit 24 then rue de la Mainguais.	El Rennes (1h25), tra A11 elirejo 24 kaj poste "Rue de la Mainguais".
acces-10	Gîtes, Airbnb et hôtels aux alentours et dans Nantes.	N-i a des batézons (jites), Airbnb e ôtelles devers e den Nante.	Lojoù, Airbnb ha letioù 'zo war-dro da hag en Naoned.	Guest-houses, Airbnb and hotels around and in Nantes.	Gastejoj, Airbnb kaj hoteloj troviĝos ĉirkaŭ kaj en Nanto.
repas-1	Lors de la pause midi, nous essaierons proposons des sandwichs. Plus d'informations ici : https://cu.bvre.fr/	Su le coup de midi, je tâcherons mouayen de v'enqhuzer des colacions a acheter. Le restant de ghiments sera marqë ilë e envouayë par mél.	Klask a raimp kinnig tammoù bara pok-ha-pok deoc'h evit pred merenn, ha traoù bihan da zebriñ ivez ("snacks"). Muioc'h a ditouroù a vo kinniget deoc'h amañ ha dre bostel.	During the lunch break, we will sell sandwiches or snacks. More information here: https://cu.bvre.fr/	Dum la tagmanĝa paŭzo, ni provos vendi sandviĉojn aŭ manĝetaĵojn. Pliaj informoj baldaŭ disponeblos ĉi tie kaj retpoŝte.
repas-2	Nous vendrons des boissons au gobelet ou en cannettes sur place.	N-i ara de la baisson en vençon aossi.	Gwerzhet 'vo evajoù war al lec'h.	We will sell cups or cans of drinks.	Ni vendos trinkaĵojn surloke.
repas-3	Il est autorisé de manger et de boire dans la salle (sous réserve de l'évolution de la situation sanitaire).	I sera possibl de manjer e de baire den la sale (ao câs qe n-i a pouint de chanjements a caoze du covid).	Aotreet 'vo debriñ hag evañ e-barzh ar sal (ma mat gant ar saviad yec'hedel).	Drinking and eating in the venue is allowed (subject to changes depending on sanitary situation).	Estas permesite manĝi kaj trinki en la konkursejo (depende de la ŝanĝoj de la sana situacio).
partenaires-1	L'Association Française de Speedcubing rend cette compétition possible en mettant son matériel à notre disposition !	La course-ci ét possibl grace a l'apouyâ de la Souéte Françaeze de Speedcubing (AFS) e le prét de son matériel !	Gallout a reomp aozañ ar genstrivadeg-mañ a-drugarez da Gevredigezh Speedcubing Bro-C'hall (AFS) hag he reizhoù!	The French Speedcubing Association (AFS) makes this competition possible by providing its competition equipment!	La Franca Asocio de Rapidkubumado ebligas tiun konkurson per pruntedono de sia ekipaĵo!
partenaires-2	La ville de Carquefou rend cette compétition possible en nous prêtant la salle de la Picaudière !	La course-ci ét possibl grace ao prét de la sale de la Picaudiere par la vile de Carqefou !	Gallout a reomp aozañ ar genstrivadeg-mañ a-drugarez da Di-Kêr Kerc'hfaou a brest sal ar Picaudière deomp!	The city of Carquefou makes this competition possible by providing the venue!	La urbo Carquefou ebligas ĉi tiun konkurson disponigante la konkursejon!
partenaires-3	+2Cubes est une boutique de cube en ligne française qui sponsorise la compétition !	+2Cubes ét eune boutiqe de qhube françaeze su la teille e ét pârain de la course-la !	Ur stal diñs enlinenn gall eo +2Cubes ha paeroniañ a ra ar genstrivadeg-mañ!	+2Cubes is a french online cubing store which sponspors the competition!	+2Cubes estas franca interreta kubbutiko, kiu sponsoras la konkurson!
